half,size_floor,volume_floor,signals,closed,win_rate,total_pnl,pnl_per_dollar
H1,100,0,136,133,0.7142857142857143,458.28,0.06891469682058302
H1,100,100000,119,116,0.7155172413793104,399.23,0.06883295112538287
H1,100,250000,117,114,0.7192982456140351,440.75,0.07732483936201368
H1,100,500000,113,110,0.7181818181818181,465.42,0.08462163568530455
H1,100,1000000,96,93,0.7096774193548387,489.41,0.10525030840972276
H1,100,2000000,85,82,0.6829268292682927,373.34,0.09105943774502454
H1,100,5000000,72,69,0.6811594202898551,237.17,0.06874633135786555
H1,250,0,94,91,0.7362637362637363,640.85,0.14084596588694287
H1,250,100000,82,79,0.7341772151898734,571.31,0.14463536261236393
H1,250,250000,82,79,0.7341772151898734,571.31,0.14463536261236393
H1,250,500000,81,78,0.7307692307692307,564.81,0.14482371978912684
H1,250,1000000,74,71,0.7183098591549296,500.78,0.14106586673333488
H1,250,2000000,68,65,0.6923076923076923,452.55,0.13924768347212915
H1,250,5000000,58,55,0.6909090909090909,479.69,0.17443366536944194
H1,500,0,69,66,0.7424242424242424,643.63,0.19503882715301804
H1,500,100000,62,59,0.7457627118644068,592.63,0.20089015317539727
H1,500,250000,62,59,0.7457627118644068,592.63,0.20089015317539727
H1,500,500000,62,59,0.7457627118644068,592.63,0.20089015317539727
H1,500,1000000,58,55,0.7454545454545455,571.13,0.20768200571358908
H1,500,2000000,55,52,0.7307692307692307,520.99,0.2003804960581461
H1,500,5000000,47,44,0.7272727272727273,513.67,0.2334886103858708
H1,750,0,52,49,0.7346938775510204,150.63,0.06148148682445277
H1,750,100000,46,43,0.7441860465116279,154.61,0.07191115702109913
H1,750,250000,46,43,0.7441860465116279,154.61,0.07191115702109913
H1,750,500000,46,43,0.7441860465116279,154.61,0.07191115702109913
H1,750,1000000,44,41,0.7560975609756098,190.26,0.09280923085136526
H1,750,2000000,41,38,0.7368421052631579,140.12,0.07374878804426772
H1,750,5000000,36,33,0.7575757575757576,180.29,0.10926600888215685
H1,1000,0,43,40,0.725,59.94,0.02996967468135801
H1,1000,100000,38,35,0.7142857142857143,54.39,0.03108100734222993
H1,1000,250000,38,35,0.7142857142857143,54.39,0.03108100734222993
H1,1000,500000,38,35,0.7142857142857143,54.39,0.03108100734222993
H1,1000,1000000,36,33,0.7272727272727273,90.04,0.05457072636293214
H1,1000,2000000,36,33,0.7272727272727273,90.04,0.05457072636293214
H1,1000,5000000,33,30,0.7666666666666667,177.93,0.11861993150440134
H2,100,0,560,521,0.6065259117082533,-247.96,-0.009518435622443703
H2,100,100000,546,514,0.603112840466926,-250.19,-0.0097350582550225
H2,100,250000,526,498,0.6004016064257028,-112.73,-0.004527374564121887
H2,100,500000,496,474,0.5949367088607594,-45.69,-0.0019276375839018946
H2,100,1000000,472,454,0.5903083700440529,85.91,0.003784659401750731
H2,100,2000000,408,395,0.579746835443038,376.08,0.01904180406245374
H2,100,5000000,280,270,0.5740740740740741,837.51,0.06203744291001533
H2,250,0,361,356,0.6039325842696629,-335.15,-0.018828381329585107
H2,250,100000,361,356,0.6039325842696629,-335.15,-0.018828381329585107
H2,250,250000,357,352,0.6022727272727273,-304.04,-0.01727482382218913
H2,250,500000,350,345,0.6,-259.85,-0.015063519624725899
H2,250,1000000,345,340,0.6,-242.78,-0.014280940887351054
H2,250,2000000,308,305,0.5901639344262295,-54.5,-0.003574016232015542
H2,250,5000000,213,210,0.5857142857142857,432.33,0.04117451494877381
H2,500,0,251,248,0.657258064516129,1174.13,0.0946877767713824
H2,500,100000,251,248,0.657258064516129,1174.13,0.0946877767713824
H2,500,250000,250,247,0.6558704453441295,1164.25,0.0942711086999339
H2,500,500000,250,247,0.6558704453441295,1164.25,0.0942711086999339
H2,500,1000000,247,244,0.6557377049180327,1192.68,0.09776036766360512
H2,500,2000000,232,231,0.6536796536796536,1271.54,0.11008968398463345
H2,500,5000000,169,168,0.6428571428571429,1218.91,0.14510859977891583
H2,750,0,208,207,0.6714975845410628,1430.16,0.13817954458049647
H2,750,100000,208,207,0.6714975845410628,1430.16,0.13817954458049647
H2,750,250000,208,207,0.6714975845410628,1430.16,0.13817954458049647
H2,750,500000,208,207,0.6714975845410628,1430.16,0.13817954458049647
H2,750,1000000,205,204,0.6715686274509803,1458.59,0.14299868426077816
H2,750,2000000,195,194,0.6752577319587629,1609.5,0.16592812860513817
H2,750,5000000,148,147,0.6802721088435374,1581.91,0.21522596723604592
H2,1000,0,177,176,0.6875,1887.32,0.214468589509824
H2,1000,100000,177,176,0.6875,1887.32,0.214468589509824
H2,1000,250000,177,176,0.6875,1887.32,0.214468589509824
H2,1000,500000,177,176,0.6875,1887.32,0.214468589509824
H2,1000,1000000,175,174,0.6896551724137931,1934.25,0.22232701510611283
H2,1000,2000000,171,170,0.6882352941176471,1967.69,0.23149319526262035
H2,1000,5000000,132,131,0.7022900763358778,2009.29,0.3067613615084374
